,id,text,authenticity_score,sensationalism_score,political_bias_score,spam_score,confirmation_bias_score,short_term_utility_score
0,1,"NEW YORK, NY — Mayor-elect Zohran Mamdani announced plans on Thursday to specifically target the rich with a new tax on anyone who makes more than $0.00 a year.

The plan, dubbed the ""How Much You Got?"" Tax, was expected to go into effect in January after Mamdani officially takes office. He has called the tax a day-one initiative, claiming his bread lines would be a disaster without the increased revenue from taking all of everyone's money.

""Everything will be free because we'll use everyone's money to pay for it,"" Mamdani said. ""It's basic economics. You wouldn't understand.""

Officially, Mamdani has no authority to raise taxes in the city (other than property taxes) without the cooperation of the New York State Legislature. However, experts believe he'll receive little pushback at the state level.

""He kind of just does whatever he wants without any logic or reason behind it, but I can't tell him not to because I'm not Islamophobic,"" New York Governor Kathy Hochul conceded.

For their part, New York City citizens overwhelmingly supported Mamdani taking all their money with a dramatic 100% tax rate. ""What am I going to do with my money, be independent and free?"" asked local New Yorker Seth Meyers. ""That's silly.""

At publishing time, President Donald Trump had called out Mayor-elect Mamdani for his destructive plan and offered to host him at the White House on Friday to discuss it because he's a huge Islamophobe.",2,7,5,9,3,8
1,2,"Walmart is proving to be America’s antidote to the cost of living crisis.

A growing number of Americans are heading to Walmart for groceries and clothing as inflation and high prices squeeze their budgets: Walmart’s business in the United States is surging and it’s gaining market share from rivals, the company said Thursday in its quarterly financial report.

Walmart has used its massive size and scale to drive down prices and pour billions of dollars into investments such as raising wages, sprucing up stores and building a logistics network for online shopping.

These investments are paying off for Walmart at a moment when many Americans’ finances are stretched.

Last quarter, Walmart’s US sales increased 4.5%. Walmart saw an uptick in customer trips to stores, and shoppers spent more when they visited. Walmart also raised its sales and profit guidance, signaling it expects a strong holiday shopping season.

Walmart’s gains have been led by middle-class and upper-income households turning to its stores and website to try to save money.

“We’re gaining market share, improving delivery speed, and managing inventory well,” Walmart CEO Doug McMillon said in a news release. “We’re well positioned for a strong finish to the year and beyond that.”

McMillon announced Friday that he’s retiring soon as CEO after 11 years. He’ll be succeeded in February by John Furner, who heads Walmart’s US operations.

Gains against Target and dollar stores

Walmart is gaining over Target in particular. Target’s sales have stagnated for around four years.

One major advantage Walmart has over Target is its grocery business.

Shoppers make frequent trips to stores to pick up groceries, and Walmart has made improving its produce section a top priority in recent years. The company has also narrowed the gap with Target on apparel and home goods.

As shoppers tighten their spending, more are choosing Walmart over Target.

Walmart has also peeled off lower-income customers from Dollar General and other discount stores.",7,5,2,1,5,3
2,3,"LAS VEGAS—Shaking his head in frustration after staff pulled yet another wriggling cottontail from the canvas mat, UFC president Dana White expressed disbelief Friday that rabbits were still somehow managing to get beneath the Octagon fence.

“We’ve tried everything—chicken wire, garlic spray, motion-triggered sprinklers—but the little bastards just keep scratching their way under there,” said White, gesturing to a UFC official attempting to lure out a pair of bunnies with a celery stick just moments before the start of a welterweight bout. “Every time we think we’ve sealed up all the gaps, nope—there’s another goddamn rabbit chewing on a cutman’s rag, or a pile of rabbit turds under [Kamaru] Usman’s stool. They’re cute, but man, they’re distracting. And they reproduce like crazy.”

At press time, White was reportedly on the phone with a pest control company to see if they could “come out and spray some chemicals or put up an electric dog fence or something.”",1,9,2,5,8,10
3,4,"Nov 20 (Reuters) - Studies from Novo Nordisk (NOVOb.CO) due early next month will give the strongest indication yet of whether blockbuster GLP-1 drugs—a class being used by millions for diabetes and weight loss—can slow progress of Alzheimer's disease.

Two trials, described by Novo as a ""lottery ticket,"" are testing its older diabetes pill Rybelsus that has the same active ingredient—semaglutide—as Ozempic and Wegovy in thousands of people with mild Alzheimer's. The goal is to decrease patients' rate of cognitive decline by at least 20%.

Alzheimer's experts say success would usher in a convenient new treatment to slow progression of the mind-robbing disease defined by toxic amyloid plaques in the brain that affects 50 million people globally.

Regardless of the results, researchers expect to glean important clues for future study into how and why these types of drugs may be useful against the disease.

""It really has a chance to be transformational,"" Alzheimer's Association Chief Science Officer Maria Carrillo said.

She and other Alzheimer's experts told Reuters it's not clear how drugs that target the GLP-1 receptor impact the brain. Most of the evidence going into the trials supported the use of GLP-1s in patients who have dementia associated with diabetes and obesity.

The Alzheimer's studies were launched in 2021 based on animal evidence and analysis of human studies showing a reduced risk of dementia or Alzheimer's in diabetes patients treated with GLP-1s, a Novo spokesperson said.

A small study of the company's older injectable GLP-1, liraglutide, found it slowed the loss of brain volume in people with mild Alzheimer's.",9,4,1,2,6,2
4,5,"The Buffalo Bills and Houston Texans will meet on 'Thursday Night Football,' with both squads playing some of their best ball as of late. Each has won three of its last four, with Buffalo (7-3) sitting second in the AFC East, while Houston (5-5) is third in the AFC South.

Buffalo knocked off Tampa, 44-32, in Week 11, as Josh Allen accounted for six total touchdowns. Meanwhile, Houston recorded a 16-13 Sunday victory over Tennessee giving the Texans their second straight win with Davis Mills filling in for C.J. Stroud (concussion). Stroud has been ruled out for this game as well.

Buffalo is currently the No. 5 seed in the AFC, while Houston is the No. 8 seed. Kickoff is at 8:15 p.m. ET from NRG Stadium in Houston.

The latest Texans vs. Bills odds have Buffalo as a 5.5-point favorite, after opening as 2.5-point favorites. The over/under for total points is 44.5. Buffalo is at -275 on the money line (risk $275 to win $100), while Houston is at +223 (risk $100 to win $223).",8,2,1,1,6,5
5,6,"For the first time in his second term, President Donald Trump was confronted by his fellow Republicans. And he fell in line.

Rather than face a massive defection of Republican votes in the House, Trump flipped to support a bill to force the Department of Justice to release non-classified files related to the convicted sex offender Jeffrey Epstein.

The flip-flop was a long time coming. The House of Representatives stayed out of session for more than a month during the government shutdown, which helped to shield Trump from this vote. After Trump ultimately endorsed the bill he had previously opposed, there was near-unanimity when the House voted on it Tuesday.

It now appears to be on a glide path to Trump’s desk.

It’s not clear that Trump will appear in the remainder of the files as he did in emails from Epstein’s estate released by the House Oversight Committee last week. But it’s definitely clear that Trump has no interest in continuing to talk about Epstein. When a reporter asked Trump in the Oval Office Tuesday why he doesn’t just release the files, he shot back that she was a bad reporter.

“Quiet, piggy,” was how he sternly reacted with a pointed finger to another reporter last week on Air Force One when she asked about the Epstein files.

The argument that seems to have convinced Republicans to break with Trump on releasing the Epstein files and vote was best expressed by Rep. Thomas Massie, the Kentucky Republican who has tangled with the administration on multiple issues.

“The deal for Republicans on this vote is that Trump will protect you if you vote the wrong way,” Massie told CNN’s Manu Raju last week. “In other words, if you vote to cover up for pedophiles, you’ve got cover in a Republican primary. But I would remind my colleagues that this vote is gonna be on your record for longer than Trump is gonna be president.”

Pair that sentiment with Trump’s recent acknowledgment that he will not be on the ballot in 2028, which means he won’t be president in 2029, and you have the makings of a lame-duck presidency.

There are other issues dividing the GOP, as CNN’s Aaron Blake noted Tuesday. In addition to the Epstein files, Republicans are grousing about Trump’s foreign focus; his apparent lack of understanding of the issue of affordability and how it relates to his tariff policy; the destruction of the White House East Wing; and the way his family is appearing to enrich itself.

Pretty much all of these issues were on display at Trump’s Oval Office appearance Monday, when he sat next to and defended Saudi Crown Prince Mohammed bin Salman.

None of this means that Republican lawmakers are going to turn on Trump en masse in the near future. But it does mean you will hear that term, lame duck, with more frequency.

What is a lame duck?
Believe it or not, “lame duck” is a technical term in US politics. Historians in both the House and Senate track lame-duck terms.

To them, it refers to a politician in the period after their successor has been elected, but before that person is sworn in. The outgoing politician still technically has power, but is no longer really accountable to voters.

Is Trump a lame duck now?
From a technical standpoint, no. US voters will vote twice before Trump leaves office: in midterms next year and the general election to replace him in 2028. His presidency will play a factor in both of those elections. The government will have to be funded each year, and natural disasters and other events will require leadership.

But the term also has a more colloquial meaning that refers to anyone who can’t be reelected. That included Trump starting on Day 1 of his second term. But his superpower in recent years has been his hold over the Republican Party. That power, at least in theory, will fade a smidge every time he asks Republican lawmakers to do something voters will not like.

Lame-duck presidencies can be dangerous times
Just because a president is losing power does not mean there is nothing important going on. The ultimate lame-duck disaster occurred in 1860, after the election of Abraham Lincoln but before he was sworn in. That’s when Southern states started seceding from the union, starting with South Carolina in December.

George W. Bush ushered in a bailout to the financial system during the Great Recession just before his successor, Barack Obama, was elected.

How have lame ducks changed?
The 20th Amendment to the Constitution was ratified in 1933 in part to shorten the length of lame-duck sessions. Originally, in the pre-modern horse-and-buggy era, unless the president called Congress into session earlier, lawmakers would not convene for a new Congress until 13 months after Election Day.

There’s a lot more time than that — a little less than 36 months — until the next presidential election. ",7,6,8,4,2,6
6,7,"While hosting Saudi Crown Prince Mohammed bin Salman at the White House yesterday, President Trump called for ABC’s broadcast license to be revoked, after ABC News White House correspondent Mary Bruce asked him why he had not released the Epstein files.

Mary Bruce: “Mr President, why wait for Congress to release the Epstein files? Why not just do it now?”

President Donald Trump: “You know, it’s not the question that I mind. It’s your attitude. I think you are a terrible reporter. It’s the way you ask these questions. … I think the license should be taken away from ABC, because your news is so fake, and it’s so wrong, and we have a great commissioner, the chairman, who should look at that, because I think when you come in and when you’re 97% negative to Trump and then Trump wins the election in a landslide, that means obviously your news is not credible, and you’re not credible as a reporter.”",9,7,1,8,5,8
7,8,"SAN DIEGO — San Diego homeowners looking to sell their house have to wait an average of 40 days to find a buyer, a 10-day increase from last year, according to new data from online real estate broker Redfin.

The increase now puts San Diego 18th in the nation for the number of days homes are on the market before selling.

Redfin's Chief Economist, Daryl Fairweather, says the uptick in days on market is a sign that San Diego's housing market is now more buyer-friendly, meaning home prices will continue to dip.

""It's an indication that the market is moving more towards being a buyer's market. When homes are taking longer to sell, it means that there are usually more homes for sale than there are buyers interested in them, and that means that homes aren't selling as quickly,"" said Fairweather.

""Homes in San Diego are accumulating on the market, and that just means that buyers probably have a bit more negotiating power and prices will likely continue to moderate,"" Fairweather added.

In addition to an increase in days on market, San Diego County also saw a slight decrease in prices, a little more than 1% as well as a 7% increase in the number of homes listed.

So, what exactly does this mean for San Diego homeowners looking to sell? Redfin's Chief Economist Fairweather says homeowners should expect to wait longer to sell and expect more negotiating from potential buyers.

""Current homeowners should expect to have to work a little bit harder to get their home sold,"" said Fairweather. ""That might mean putting extra effort into the staging. It might mean lowering the price. If you want to sell your home quickly, all you have to do is price it lower.""

Fairweather says with the exception of San Jose, where the AI boom is driving home prices up, the housing market throughout the U.S. is seeing similar trends to San Diego.

""Generally, in California and nationally, we're seeing a slowdown in the market,"" said Fairweather.",7,2,1,1,6,4
8,9,"The Democrat is accused of stealing Federal Emergency Management Agency overpayments that her family health care company had received through a federally funded COVID-19 vaccination staffing contract, federal prosecutors said.

A portion of the money was then funneled to support her campaign through candidate contributions, prosecutors allege.

""Using disaster relief funds for self-enrichment is a particularly selfish, cynical crime,"" Attorney General Pam Bondi said in a statement. ""No one is above the law, least of all powerful people who rob taxpayers for personal gain. We will follow the facts in this case and deliver justice.""

Cherfilus-McCormick was first elected to Congress in 2022 in the 20th District, representing parts of Broward and Palm Beach counties, in a special election after Rep. Alcee Hastings died in 2021.

In December 2024, a Florida state agency sued a company owned by Cherfilus-McCormick's family, saying it overcharged the state by nearly $5.8 million for work done during the pandemic and wouldn't give the money back.

The Florida Division of Emergency Management said it made a series of overpayments to Trinity Healthcare Services after hiring it in 2021 to register people for COVID-19 vaccinations. The agency says it discovered the problem after a single $5 million overpayment drew attention.

Cherfilus-McCormick was the CEO of Trinity at the time.

The Office of Congressional Ethics said in a January report that Cherfilus-McCormick's income in 2021 was more than $6 million higher than in 2020, driven by nearly $5.75 million in consulting and profit-sharing fees received from Trinity Healthcare Services.

In July, the House Ethics Committee unanimously voted to reauthorize an investigative subcommittee to examine allegations involving Cherfilus-McCormick.",8,7,7,6,8,3
9,10,"Lawmakers Fear Brazil Will Fast Track Bill ‘Targeting U.S. Companies’

American lawmakers are sounding the alarm that Brazil may be taking a page out of Europe’s playbook, enacting laws designed to hurt American companies.

Brazil is in the midst of a debate over legislation that would impose massive regulations on digital markets, which are dominated by American tech companies. A Republican lawmaker says the Brazilians should consider what happened in Europe, which is now under pressure from President Donald Trump to dial back the restrictions.

Rep. Scott Fitzgerald (R-WI) says Trump should nip the push in the bud, making it part of the ongoing trade deal with the South American country.

“I’m shocked to learn that Brazil, in the middle of trade discussions with the U.S., is fast-tracking a DMA-style bill that targets U.S. companies,” Fitzgerald said.

Trump has championed American businesses and pledged to fight overseas regulations that hurt domestic companies during his trade negotiations. In the trade framework agreement with the European Union, Trump made the Europeans promise they would “address unjustified digital trade barriers.”

The European Union passed the Digital Markets Act in 2023 to regulate the influence held by major tech companies, labeling the big six tech companies all “gatekeepers.” To be labeled a gatekeeper, the law explains, the company must act as a channel for businesses to reach their customers, have a broad influence across Europe’s digital economy, and be a mainstay in the digital platform space.

All six designated gatekeepers — Alphabet, Amazon, Apple, ByteDance, Meta, and Microsoft — have since raised concerns about how the rules work in practice.

Trump criticized such regulations in August, writing on Truth Social, “As the President of the United States, I will stand up to countries that attack our incredible American Tech Companies. Digital Taxes, Digital Services Legislation, and Digital Markets Regulations are all designed to harm, or discriminate against, American Technology.”

Experts warn that Brazil, one of the largest economies in the world, is setting itself on the same course.

“Brazil would be wise to put this ill-advised legislation on ice,” said Ashley Baker, executive director of the Committee for Justice. “The Digital Markets Act is bad policy. It was a blunder when Europe pursued it, and Brazil attempting to import that approach to the western hemisphere is bad for their prospects of reaching a trade deal with the United States.”

Michael Toth, research director at the Civitas Institute, warns that Brazil’s proposal will cause the same competition problems that regulation caused in Europe.

“Brazil’s proposed digital markets bill unfairly targets U.S. technology companies under the guise of promoting competition,” Toth said. “By replicating Europe’s flawed model, it creates a discriminatory system that hurts consumers and innovation.”",9,8,9,4,3,5
